date,sector,index_price,fund_nav,valuation_percentile,attention_rank_pct,fund_start_date,valuation_metric
2020-03-10,沪深300,4082.732,1.365,44.19,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-10,消费,16791.859,2.0957,95.35,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-10,科技,2148.81,2.18,74.42,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-11,医药,10910.332,1.1657,65.91,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-11,沪深300,4028.429,1.348,31.82,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-11,消费,16732.384,2.0886,90.91,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-11,科技,2101.463,2.1345,65.91,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-12,医药,10574.993,1.1321,35.56,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-12,沪深300,3950.911,1.323,17.78,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-12,消费,16264.514,2.0338,55.56,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-12,科技,2045.926,2.0816,53.33,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-13,医药,10365.885,1.1112,26.09,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-13,沪深300,3895.313,1.305,8.7,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-13,消费,16054.599,2.0094,30.43,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-13,科技,2030.58,2.067,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-16,医药,10044.821,1.0786,12.77,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-16,沪深300,3727.84,1.251,4.26,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-16,消费,15345.726,1.9263,10.64,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-16,科技,1910.767,1.9536,19.15,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-17,医药,10057.926,1.0799,14.58,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-17,沪深300,3709.682,1.246,4.17,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-17,消费,15196.719,1.909,8.33,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-17,科技,1917.702,1.9598,22.92,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-18,医药,9957.437,1.0695,2.04,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-18,沪深300,3636.257,1.222,2.04,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-18,消费,15062.935,1.8931,8.16,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-18,科技,1887.042,1.9303,14.29,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-19,医药,9841.838,1.0577,2.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-19,沪深300,3589.093,1.207,2.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-19,消费,14897.388,1.8733,8.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-19,科技,1894.943,1.9378,18.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-20,医药,10125.847,1.0867,21.57,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-20,沪深300,3653.224,1.228,5.88,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-20,消费,15226.551,1.9126,13.73,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-20,科技,1915.046,1.957,25.49,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-23,医药,9931.798,1.0667,3.85,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-23,沪深300,3530.306,1.189,1.92,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-23,消费,14818.461,1.8648,5.77,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-23,科技,1827.052,1.8728,3.85,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-24,医药,10211.234,1.095,24.53,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-24,沪深300,3625.115,1.218,5.66,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-24,消费,15319.178,1.9236,18.87,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-24,科技,1876.91,1.9182,13.21,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-25,医药,10558.536,1.1302,44.44,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-25,沪深300,3722.518,1.249,14.81,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-25,消费,15661.189,1.9641,29.63,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-25,科技,1937.855,1.9739,42.59,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-26,医药,10758.316,1.1503,52.73,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-26,沪深300,3698.047,1.241,12.73,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-26,消费,15672.298,1.9653,30.91,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-26,科技,1927.275,1.9638,34.55,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-27,医药,10687.901,1.1433,51.79,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-27,沪深300,3710.061,1.245,16.07,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-27,消费,15761.262,1.9757,35.71,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-27,科技,1903.881,1.9414,21.43,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-30,医药,10537.785,1.1281,42.11,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-30,沪深300,3674.111,1.234,10.53,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-30,消费,15750.968,1.9744,35.09,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-30,科技,1860.484,1.8997,10.53,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-31,医药,10664.059,1.1408,51.72,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-31,沪深300,3686.155,1.237,12.07,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-31,消费,16411.317,2.0523,72.41,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-31,科技,1871.917,1.9102,13.79,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-01,医药,10505.063,1.125,40.68,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-01,沪深300,3675.076,1.2338,11.86,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-01,消费,16196.942,2.027,57.63,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-01,科技,1864.8,1.9035,13.56,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-02,医药,10671.077,1.1415,53.33,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-02,沪深300,3734.531,1.2528,25.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-02,消费,16332.284,2.043,68.33,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-02,科技,1916.951,1.9536,33.33,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-03,医药,10778.437,1.1522,59.02,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-03,新能源,1781.496,1.0,50.0,50.0,2020-04-03,PRICE_PERCENTILE
2020-04-03,沪深300,3713.218,1.2459,21.31,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-03,消费,16450.439,2.0569,75.41,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-03,科技,1906.675,1.9439,27.87,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-07,医药,11082.785,1.1828,93.55,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-07,沪深300,3798.021,1.2729,29.03,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-07,消费,17033.843,2.1253,98.39,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-07,科技,1969.782,2.0042,53.23,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-08,医药,11062.737,1.1808,90.48,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-08,新能源,1828.002,0.9999,50.0,50.0,2020-04-03,PRICE_PERCENTILE
2020-04-08,沪深300,3780.345,1.2673,26.98,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-08,消费,16832.218,2.1017,95.24,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-08,科技,1964.757,1.9994,50.79,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-09,医药,11376.437,1.2125,100.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-09,新能源,1825.863,0.9999,50.0,50.0,2020-04-03,PRICE_PERCENTILE
2020-04-09,沪深300,3792.811,1.2712,29.69,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-09,消费,16901.763,2.1098,95.31,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-09,科技,1997.136,2.0306,57.81,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-10,医药,11230.271,1.1977,95.38,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-10,新能源,1776.752,0.9962,50.0,50.0,2020-04-03,PRICE_PERCENTILE
2020-04-10,沪深300,3769.178,1.2637,26.15,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-10,消费,16906.544,2.1104,95.38,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-10,科技,1949.885,1.9852,49.23,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-13,医药,11305.671,1.2052,98.48,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-13,新能源,1747.146,0.9937,50.0,50.0,2020-04-03,PRICE_PERCENTILE
2020-04-13,沪深300,3753.257,1.2587,25.76,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-13,消费,16748.85,2.0917,87.88,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-13,科技,1923.081,1.9597,36.36,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-14,医药,11531.344,1.2278,100.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-14,新能源,1829.196,1.0156,50.0,50.0,2020-04-03,PRICE_PERCENTILE
2020-04-14,沪深300,3825.699,1.2816,34.33,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-14,消费,17083.573,2.1311,98.51,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-14,科技,1985.426,2.0183,56.72,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-15,医药,11518.252,1.2264,98.53,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-15,新能源,1829.063,1.0164,50.0,50.0,2020-04-03,PRICE_PERCENTILE
2020-04-15,沪深300,3797.362,1.2726,32.35,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-15,消费,16913.564,2.1111,94.12,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-15,科技,1977.515,2.0108,54.41,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-16,医药,11629.101,1.2375,100.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-16,新能源,1845.79,1.0198,50.0,50.0,2020-04-03,PRICE_PERCENTILE
2020-04-16,沪深300,3802.381,1.2743,34.78,50.0,2009-07-10,PRICE_PERCENTILE
2020-04-16,消费,16821.797,2.101,88.41,50.0,2015-03-24,PRICE_PERCENTILE
2020-04-16,科技,2008.388,2.0403,60.87,50.0,2011-09-20,PRICE_PERCENTILE
2020-04-17,医药,11519.011,1.2266,97.14,50.0,2019-03-26,PRICE_PERCENTILE
2020-04-17,新能源,1859.832,1.0224,50.0,50.0,2020-04-03,PRICE_PERCENTILE
